Character,English,Danish,Comment,
𝛻,nabla,nabla,"Not a Greek letter, but part of the Unicode block",https://en.wikipedia.org/wiki/Nabla_symbol
𝛼,alpha,alfa,,
𝛽,beta,beta,,
𝛾,gamma,gamma,,
𝛿,delta,delta,,
𝜀,epsilon,epsilon,,
𝜁,zeta,zeta,,
𝜂,eta,eta,,
𝜃,theta,theta,,
𝜄,iota,jota,,
𝜅,kappa,kappa,,
𝜆,lamda,lambda,,
𝜇,mu,my,,
𝜈,nu,ny,,
𝜉,xi,xi,,
𝜊,omicron,omikron,,
𝜋,pi,pi,,
𝜌,rho,rho,,
𝜍,final sigma,afsluttende sigma,,
𝜎,sigma,sigma,,
𝜏,tau,tau,,
𝜐,upsilon,ypsilon,,
𝜑,phi,phi,,
𝜒,chi,chi,,
𝜓,psi,psi,,
𝜔,omega,omega,,
𝜕,partial differential,partielle afledte,"Not a Greek letter, but part of the Unicode block",https://en.wikipedia.org/wiki/∂
𝜖,epsilon,epsilon,Variant form,
𝜗,theta,theta,Variant form,
𝜘,kappa,kappa,Variant form,
𝜙,phi,phi,Variant form,
𝜚,rho,rho,Variant form,
𝜛,pi,pi,Variant form,
 ,,,,
